,MAPE,MAE,RMSE,Parameters
0,1.0585568075627163,2.580308205428171,4.0459436080764695,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
1,2.70110845518631,6.5621808019045025,9.660320400887992,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
2,1.0771018719178844,2.623309689739249,4.083651924203263,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
3,2.677227078061405,6.50441634455015,9.597784991184751,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
4,1.0099562018957489,2.4610746430653276,3.821142994470494,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
5,2.6492966325795617,6.437272203349666,9.527810148561594,"{'changepoint_prior_scale': 0.05, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
6,1.0530891854669533,2.569263014385723,4.0102062579161,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
7,2.683224416671543,6.520123500039301,9.607001066854563,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
8,1.0443445316871107,2.5418023530215375,3.959789794853107,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
9,2.680929853577503,6.513173273452849,9.597348054501948,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
10,1.0728212490860807,2.6105513332688406,4.061600146709523,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
11,2.684580435032312,6.519930979581259,9.603455369758745,"{'changepoint_prior_scale': 0.05, 'fourier_order': 2, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
12,1.0242846464183648,2.4961491627574235,3.8834910818798614,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
13,2.709179957985723,6.586038923461791,9.68623004773687,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
14,1.0026808820531397,2.437008613433078,3.7958851938514897,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
15,2.685583147736891,6.526001361598108,9.612602329358921,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
16,1.0479180231344856,2.5507672067390113,3.970809360937303,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
17,2.668162856259346,6.481434883601556,9.5593435103542,"{'changepoint_prior_scale': 0.05, 'fourier_order': 3, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
18,1.0611528720894228,2.58579979686149,4.046376944266997,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
19,2.683469725214534,6.516209658262618,9.588663911612,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
20,1.0751598583578599,2.6158569850004834,4.059410657366542,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
21,2.6763921384621034,6.498303714532328,9.569082629170845,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
22,1.0803909237598854,2.63234452479247,4.106266033817116,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
23,2.684315939292074,6.514720479094128,9.586548754515833,"{'changepoint_prior_scale': 0.05, 'fourier_order': 4, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
24,1.081587876053864,2.6370196726316117,4.111408591877033,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
25,2.658269900187971,6.45563765986915,9.526325213509079,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
